,State,PerPop
23,Mississippi,1.6535274471503585
9,Georgia,5.3493163961216155
47,West Virginia,9.582330538081434
14,Iowa,9.792788441432862
17,Louisiana,9.980903230454652
39,South Carolina,10.145331093589997
2,Arkansas,11.445993223594304
19,Maryland,12.542669321813262
18,Maine,12.839685687339482
28,New Hampshire,14.873528417962788
48,Wisconsin,15.90855521447655
24,Missouri,16.313150834917607
37,Pennsylvania,17.377152273898712
6,Delaware,19.215372382161043
45,Virginia,19.79183182243783
8,Florida,21.088502218574213
43,Utah,21.4209204196562
13,Indiana,22.079387401079874
25,Montana,23.75668598065529
30,New Mexico,27.11177509063607
35,Oklahoma,30.481654929370773
32,North Carolina,30.759458995331062
12,Illinois,31.27215176199784
44,Vermont,33.899327495251825
34,Ohio,33.999125055328264
22,Minnesota,34.99501932026114
40,South Dakota,35.523997181498316
5,Connecticut,36.495980459605796
38,Rhode Island,40.97913044630427
11,Idaho,42.19665850816058
15,Kansas,42.419629424885244
41,Tennessee,42.51082792607346
4,Colorado,43.35655156865464
42,Texas,43.89737278150646
21,Michigan,44.03925970084021
33,North Dakota,44.256521860513345
16,Kentucky,44.565947870863596
36,Oregon,44.64861464258565
26,Nebraska,47.71488271488272
46,Washington,48.03897160755962
0,Alaska,48.58689588309529
20,Massachusetts,49.23595863250131
31,New York,51.7797606161913
29,New Jersey,56.49244047830152
1,Arizona,61.54378671265503
3,California,63.3289866652226
10,Hawaii,69.05759305893199
27,Nevada,85.67076164386187
7,District of Columbia,102.62338239118303
