Bias_Motivation,Murder_and_non-negligent_manslaughter,Rape3,Aggrevated_Assault,Simple_Assault,Intimidation,Other4,Robbery,Burglary,Larceny_Theft,Motor_vehicle_theft,Arson,Destruction_damage_vandalism,Other4,Crimes_against_society,Total_victims,Total_adult_victims,Total_juvenile_victims
Anti-Jewish,11,0,24,65,243,8,5,3,3,1,11,544,,2,920,398,38
Anti-Catholic,0,0,3,3,11,0,0,2,4,1,6,25,4,4,63,29,1
Anti-Protestant,0,0,4,4,3,0,0,0,8,1,2,15,0,2,39,20,1
Anti-Islamic (Muslim),0,0,14,53,102,0,6,6,3,0,2,49,0,1,236,145,33
Anti-Other Religion,1,0,3,9,21,1,1,3,7,1,2,56,1,3,109,55,2
"Anti-Multiple Religions, Group",0,0,1,3,11,0,0,2,2,0,2,26,0,5,52,16,2
Anti-Mormon,0,0,0,1,0,0,0,0,2,1,0,6,0,1,11,6,0
Anti-Jehovah's Witness,0,0,1,0,2,0,0,0,1,0,1,4,0,0,9,3,0
"Anti-Eastern Orthodox (Russian, Greek, Other)",0,0,4,1,0,2,0,1,5,1,0,6,4,9,33,23,2
Anti-Other Christian,0,0,3,4,6,0,1,4,1,0,0,22,0,2,43,11,2
Anti-Buddhist,0,0,1,2,1,0,2,2,1,0,0,1,0,1,11,8,0
Anti-Hindu,0,0,0,5,2,0,0,0,1,0,0,5,1,0,14,10,0
Anti-Sikh,0,0,5,10,4,0,0,10,15,2,0,7,7,9,69,48,4
Anti-Atheism/Agnosticism/etc.,0,0,0,1,0,0,0,0,1,0,0,5,1,0,8,7,1
Religion Totals,12,0,63,161,406,11,15,33,54,8,26,771,18,39,1617,779,86
